SELECT A.unique_id, B.name FROM Employees AS B LEFT JOIN EmployeeUNI AS A ON A.id=B.id
SELECT CASE WHEN b.unique_id IS NOT NULL THEN b.unique_id ELSE null END AS unique_id, name FROM Employees as a LEFT JOIN EmployeeUNI as b ON a.id = b.id
SELECT COALESCE(unique_id) AS unique_id, name FROM Employees LEFT JOIN EmployeeUNI USING(id)
SELECT E.unique_id ,Emp.name AS name FROM Employees Emp LEFT JOIN EmployeeUNI E on Emp.id = E.id
SELECT EU.UNIQUE_ID, E.NAME FROM EMPLOYEES E LEFT JOIN EMPLOYEEUNI EU ON EU.ID = E.ID
SELECT EU.unique_id unique_id, E.name name FROM Employees AS E LEFT JOIN EmployeeUNI AS EU ON E.id = EU.id
SELECT EU.unique_id, E.name FROM Employees E LEFT JOIN EmployeeUNI EU ON E.id = EU.id
SELECT EU.unique_id, E.name FROM Employees E LEFT JOIN EmployeeUNI EU ON EU.id = E.id
SELECT EmployeeUNI.unique_id AS unique_id, Employees.name AS name from employees LEFT JOIN EmployeeUNI ON Employees.id = EmployeeUNI.id
SELECT EmployeeUNI.unique_id, Employees.name FROM EmployeeUNI RIGHT JOIN Employees ON Employees.id = EmployeeUNI.id
SELECT EmployeeUNI.unique_id, Employees.name FROM Employees LEFT JOIN EmployeeUNI ON EmployeeUNI.id = Employees.id
SELECT EmployeeUNI.unique_id, Employees.name FROM Employees LEFT JOIN EmployeeUNI ON Employees.id = EmployeeUNI.id
SELECT EmployeeUNI.unique_id, Employees.name FROM Employees LEFT JOIN EmployeeUNI on Employees.id = EmployeeUNI.id
SELECT EmployeeUNI.unique_id, name FROM Employees LEFT JOIN EmployeeUNI ON Employees.id = EmployeeUNI.id
SELECT Employees.name, EmployeeUNI.unique_id FROM Employees LEFT JOIN EmployeeUNI ON Employees.id = EmployeeUNI.id
SELECT IF(unique_id IS NULL, NULL, unique_id) as unique_id, name FROM Employees LEFT JOIN EmployeeUNI ON Employees.id = EmployeeUNI.id
SELECT IFNULL(null,unique_id) AS unique_id, name FROM Employees a LEFT JOIN EmployeeUNI b ON a.id=b.id
SELECT IFNULL(u.unique_id,null) AS unique_id, e.name FROM Employees e LEFT JOIN EmployeeUNI u ON e.id = u.id
SELECT IFNULL(unique_id, null) AS unique_id, name FROM Employees LEFT JOIN EmployeeUNI USING(id)
SELECT IFNULL(unique_id,null) AS unique_id, name FROM Employees LEFT JOIN EmployeeUNI USING(id)
SELECT IFNULL(unique_id,null) AS unique_id, name FROM employees AS e LEFT JOIN employeeuni AS e1 ON e.id = e1.id
SELECT U.UNIQUE_ID, E.NAME FROM EMPLOYEES E LEFT JOIN EmployeeUNI U ON U.ID = E.ID
SELECT U.unique_id, E.Name FROM EmployeeUNI AS U RIGHT JOIN Employees AS E ON U.id=E.id
SELECT U.unique_id, E.name FROM Employees E LEFT JOIN EmployeeUNI U ON E.id = U.id
SELECT UNIQUE_ID, NAME FROM EMPLOYEES LEFT JOIN EMPLOYEEUNI ON EMPLOYEES.ID = EMPLOYEEUNI.ID
SELECT UNIQUE_ID,NAME FROM EMPLOYEES LEFT JOIN EMPLOYEEUNI ON EMPLOYEES.id = EMPLOYEEUNI.id
SELECT a.Name, b.unique_id FROM Employees as a LEFT JOIN EmployeeUNI as b on a.id=b.id
SELECT a.unique_id, b.name FROM EmployeeUNI a RIGHT JOIN Employees b ON a.id = b.id
SELECT b.unique_id ,a.name FROM Employees a LEFT JOIN EmployeeUNI b ON b.id = a.id ORDER BY 1 DESC
SELECT b.unique_id AS `unique_id`, a.name AS `name` FROM `Employees` `a` LEFT JOIN `EmployeeUNI` `b` ON `a`.`id` = `b`.`id`
SELECT b.unique_id AS unique_id, a.name AS name FROM Employees a LEFT JOIN EmployeeUNI b ON a.id = b.id
SELECT b.unique_id, a.name FROM Employees AS a LEFT JOIN EmployeeUNI AS b ON a.id = b.id
SELECT b.unique_id, a.name FROM Employees AS a LEFT JOIN EmployeeUNI AS b ON b.id = a.id
SELECT b.unique_id, a.name FROM Employees a LEFT JOIN EmployeeUNI b ON a.id = b.id
SELECT b.unique_id, a.name FROM Employees a LEFT JOIN EmployeeUNI b USING (id)
SELECT b.unique_id,a.name FROM Employees a LEFT JOIN EmployeeUNI b ON a.id=b.id
SELECT e.name, eu.unique_id FROM Employees as e LEFT JOIN EmployeeUNI as eu ON e.id = eu.id
SELECT e.name, eu.unique_id FROM employees e LEFT JOIN EmployeeUNI eu ON e.id = eu.id
SELECT e.name, u.unique_id FROM Employees e LEFT JOIN EmployeeUNI u ON e.id = u.id
SELECT e.name, u.unique_id FROM employees e LEFT JOIN EmployeeUNI u ON e.id = u.id
SELECT e.name, uni.unique_id FROM Employees e LEFT JOIN EmployeeUni uni ON e.id = uni.id
